URI	Nom du Fichier	P102 has title	P4 has time-span 
U8 foresees time span	Similarité
				
				
MEME DATE MEME TITRE				
				
				
<http://data.doremus.org/performance/06b0ecbf-802e-3235-9976-22a12c9d3351>	17832.ttl	Sabine Devieilhe 	2017-11-14T20:30	Similarité :1.0
<http://data.doremus.org/performance/8fd635d2-1530-314f-a542-9328856a35d5>	1073641.ttl	Sabine Devieilhe	2017-11-14T20:30	
				
<http://data.doremus.org/performance/ac6c78ce-df20-3ea7-9302-35d44ec6f5ef>	17845.ttl	Bach en sept paroles - II - De passage	2017-11-21T20:30	Similarité :1.0
<http://data.doremus.org/performance/b2c951e1-7d8c-39b8-a5b8-b8a556c2f406>	1072550.ttl	Bach en sept paroles : II : De passage	2017-11-21T20:30	
				
<http://data.doremus.org/performance/0df59244-307b-39b4-b64e-ee2e4f379d2d>	16820.ttl	Démos	2017-06-24T20:30	Similarité :1.0
<http://data.doremus.org/performance/71f60b13-502a-33c9-9be2-6ee41f84ed5f>	1067429.ttl	Démos	2017-06-24T20:30	
				
<http://data.doremus.org/performance/fdad6ee1-f3cd-35dc-8444-4ff667f15520>	16651.ttl	El Fuego latino	2016-12-13T20:30	Similarité :1.0
<http://data.doremus.org/performance/ddfea13a-8244-399e-8b62-ec73dd717c19>	1065624.ttl	El Fuego latino	2016-12-13T20:30	
				
<http://data.doremus.org/performance/cd536dff-1f3e-3349-8a09-af317915969f>	11070.ttl	Menahem Pressler	2011-03-23T20:00	Similarité :1.0
<http://data.doremus.org/performance/226b4f2d-7223-30bf-8d38-e3e6b3b87690>	0961909.ttl	Menahem Pressler	2011-03-23T20:00	
				
<http://data.doremus.org/performance/7b1e01eb-cf1e-3bcb-8f75-faf759d75db8>	11110.ttl	Janine Jansen - Itamar Golan	2011-05-12T20:00	Similarité :1.0
<http://data.doremus.org/performance/cef87b44-c684-3c00-afd7-bc4295e1dba1>	0967163.ttl	Janine Jansen, Itamar Golan	2011-05-12T20:00	
				
<http://data.doremus.org/performance/5c70e639-2dfd-374d-bd71-ca7e920b226b>	10878.ttl	Orchestre Philharmonique de Radio France - Alan Gilbert - Yvonne Naef	2010-11-27T20:00	Similarité :1.0
<http://data.doremus.org/performance/2faf8de4-800d-3630-9144-aac838be03aa>	0953738.ttl	Orchestre Philharmonique de Radio France. Alan Gilbert. Yvonne Naef	2010-11-27T20:00	
				
<http://data.doremus.org/performance/252e816f-c838-34cd-aa1d-166ee7deab1c>	10729.ttl	Youssou Ndour et le Super Etoile	2010-10-28T20:00	Similarité :1.0
<http://data.doremus.org/performance/de3b340f-aa23-3b15-b9df-39f116eca3a7>	0950960.ttl	Youssou Ndour et le Super Etoile	2010-10-28T20:00	
				
<http://data.doremus.org/performance/61067792-acd3-3bd7-842d-d360d99e6c47>	10919.ttl	Nat King Cole en espagnol  - David Murray - Omara Portuondo	2010-12-21T20:00	Similarité :1.0
<http://data.doremus.org/performance/6a127f4e-3e1a-3bf3-8575-b6d8d0d3638b>	0955769.ttl	Nat King Cole en espagnol. David Murray. Omara Portuondo	2010-12-21T20:00	
				
<http://data.doremus.org/performance/352d3957-eda6-3fd2-8fe0-2994000f5154>	10720.ttl	Orchestre Philharmonique de Radio France - Myung-Whun Chung - Sergio Tiempo	2010-10-15T20:00	Similarité :1.0
<http://data.doremus.org/performance/a241e8a7-b429-3a2f-80f3-68b77e90810b>	0951541.ttl	Orchestre Philharmonique de Radio France. Myung-Whun Chung. Sergio Tiempo	2010-10-15T20:00	
				
<http://data.doremus.org/performance/dbf9219c-f741-35d1-b593-a9849395607d>	10961.ttl	Chamber Orchestra of Europe - Bernard Haitink	2011-01-18T20:00	Similarité :1.0
<http://data.doremus.org/performance/3e9f2093-0d70-3066-94f6-9a4d7d46f60c>	0955975.ttl	Chamber Orchestra of Europe. Bernard Haitink	2011-01-18T20:00	
				
<http://data.doremus.org/performance/cfb8f635-5ba1-3d5f-af29-bac7d46e47e3>	11119.ttl	Orchestre de Paris - Paavo Järvi - Janine Jansen - Antoine Tamestit	2011-01-13T20:00	Similarité :1.0
<http://data.doremus.org/performance/2abf43e2-e7a6-36d0-9745-f8580baabaa7>	0957530.ttl	Orchestre de Paris, Paavo Järvi, Janine Jansen, Antoine Tamestit	2011-01-13T20:00	
				
<http://data.doremus.org/performance/724f5e7b-45fa-33c0-b0b1-89643293036a>	10934.ttl	Orchestre de Paris - Paavo Järvi - Leif Ove Andsnes	2011-05-25T20:00	Similarité :1.0
<http://data.doremus.org/performance/a89e8b68-0f72-38b4-baa8-ade7a29afdfc>	0967729.ttl	Orchestre de Paris. Paavo Järvi, Leif Ove Andsnes	2011-05-25T20:00	
				
<http://data.doremus.org/performance/acc87d24-0f27-318e-be7a-b7f6a0300849>	11668.ttl	Orchestre Philharmonique de Radio France - Vasily Petrenko - Dimitri Voropaev - Sergei Leiferkus	2012-02-10T20:00	Similarité :1.0
<http://data.doremus.org/performance/c55aa049-0cb9-3b63-b9cb-52df32b20a33>	0981598.ttl	Orchestre Philharmonique de Radio France, Vasily Petrenko, Dimitri Voropaev, Sergei Leiferkus	2012-02-10T20:00	
				
<http://data.doremus.org/performance/cfe58f28-8789-3143-bcd6-cabf8f5b0272>	11610.ttl	Orchestre de Paris - Paavo Järvi - Dang Thai Son	2011-11-09T20:00	Similarité :1.0
<http://data.doremus.org/performance/a761c966-5ad4-3746-b16a-32a07be21774>	0977247.ttl	Orchestre de Paris - Paavo Järvi - Dang Thai Son	2011-11-09T20:00	
				
<http://data.doremus.org/performance/62797b39-7007-32c6-9c98-56b6a69773d0>	11655.ttl	Orchestre Philharmonique de Radio France - Alexander  Vedernikov - Mikhaïl Rudy	2012-01-06T20:00	Similarité :1.0
<http://data.doremus.org/performance/309387bb-7876-328e-8c09-d64b8035fec2>	0980044.ttl	Orchestre Philharmonique de Radio France, Alexander Vedernikov, Mikhaïl Rudy	2012-01-06T20:00	
				
<http://data.doremus.org/performance/440b8d5e-e52b-3afd-ba7a-02a966fd059d>	12731.ttl	Orchestre de Paris - Andrey Boreyko - Khatia Buniatishvili	2013-06-12T20:00	Similarité :1.0
<http://data.doremus.org/performance/de2f8352-e8d2-3b1d-97fd-14eb27cefc7d>	1004845.ttl	Orchestre de Paris, Andrey Boreyko, Khatia Buniatishvili	2013-06-12T20:00	
				
<http://data.doremus.org/performance/b23819bf-4beb-3a90-ab87-b60dac5d8bcc>	11701.ttl	Orchestre Philharmonique de Radio France - Gustavo Dudamel	2012-04-13T20:00	Similarité :1.0
<http://data.doremus.org/performance/053160de-d772-3947-8384-896d3e092b6b>	0985772.ttl	Orchestre Philharmonique de Radio France, Gustavo Dudamel	2012-04-13T20:00	
				
<http://data.doremus.org/performance/548fced7-7b5d-3ad8-b356-9ac279e918b7>	11627.ttl	Orchestre Philharmonique de Radio France - Alan Gilbert - Barry Douglas	2011-12-09T20:00	Similarité :1.0
<http://data.doremus.org/performance/626d6890-9445-31fd-aa60-228eb953377a>	0978428.ttl	Orchestre Philharmonique de Radio France - Alan Gilbert - Barry Douglas	2011-12-09T20:00	
				
<http://data.doremus.org/performance/23954dab-b015-315c-99a6-78027ce3d5fa>	11687.ttl	Orchestre Philharmonique de Radio France - Myung-Whun Chung	2012-03-16T20:00	Similarité :1.0
<http://data.doremus.org/performance/7728c0a1-7562-36da-b399-f7b2ddbea81a>	0983800.ttl	Orchestre Philharmonique de Radio France, Myung-Whun Chung	2012-03-16T20:00	
				
<http://data.doremus.org/performance/c5cfc177-7c27-350f-8b9f-e63e8ab92ccd>	11605.ttl	Kammerorchester des Bayerischen Rundfunks - Hélène Grimaud - Sandrine Piau - Radoslaw Szulc	2011-11-03T20:00	Similarité :1.0
<http://data.doremus.org/performance/112aa869-effa-3f09-a1d5-a282995f6def>	0977014.ttl	Kammerorchester des Bayerischen Rundfunks - Hélène Grimaud - Sandrine Piau - Radoslaw Szulc	2011-11-03T20:00	
